Full_ID,Group,Longest_branch
Cbp-3-1,Cbp,37.5
Cbp-3-2,Cbp,51.3
Cbp-3-3,Cbp,43.1
Cbp-3-4,Cbp,44.9
Cbp-3-5,Cbp,49.9
Cbp-3-6,Cbp,36.8
Cbp-4-1,Cbp,45.4
Cbp-4-2,Cbp,48.3
Cbp-4-3,Cbp,44.4
Cbp-4-4,Cbp,52.2
Cbp-4-5,Cbp,46.8
Cbp-4-6,Cbp,46.1
Cbp-6-1,Cbp,53.6
Cbp-6-2,Cbp,49.7
Cbp-6-3,Cbp,51.2
Cbp-6-4,Cbp,51.4
Cbp-6-5,Cbp,48.6
Cbp-6-6,Cbp,51.5
Cbp-8-1,Cbp,35.9
Cbp-8-2,Cbp,51.1
Cbp-8-3,Cbp,50.0
Cbp-8-4,Cbp,43.1
Cbp-8-5,Cbp,45.4
Cbp-8-6,Cbp,53.5
Cbp-11-1,Cbp,54.6
Cbp-11-2,Cbp,66.5
Cbp-11-3,Cbp,60.5
Cbp-11-4,Cbp,49.1
Cbp-11-5,Cbp,51.2
Cbp-11-6,Cbp,55.1
Cbp-12-1,Cbp,56.2
Cbp-12-2,Cbp,60.0
Cbp-12-3,Cbp,49.8
Cbp-12-4,Cbp,50.2
Cbp-12-5,Cbp,47.8
Cbp-12-6,Cbp,52.6
Cg2-1-1,Cg2,139.7
Cg2-1-2,Cg2,89.3
Cg2-1-3,Cg2,97.1
Cg2-1-4,Cg2,102.1
Cg2-1-5,Cg2,89.3
Cg2-1-6,Cg2,97.7
Cg2-2-1,Cg2,112.2
Cg2-2-2,Cg2,85.2
Cg2-2-3,Cg2,91.7
Cg2-2-4,Cg2,95.1
Cg2-2-5,Cg2,106.0
Cg2-2-6,Cg2,133.1
Cg2-7-1,Cg2,100.9
Cg2-7-2,Cg2,108.4
Cg2-7-3,Cg2,104.1
Cg2-7-4,Cg2,111.9
Cg2-7-5,Cg2,135.8
Cg2-7-6,Cg2,99.0
Cg2-9-1,Cg2,106.7
Cg2-9-2,Cg2,118.6
Cg2-9-3,Cg2,78.7
Cg2-9-4,Cg2,102.8
Cg2-9-5,Cg2,92.0
Cg2-9-6,Cg2,84.2
Cg2-12-1,Cg2,110.3
Cg2-12-2,Cg2,66.2
Cg2-12-3,Cg2,82.9
Cg2-12-4,Cg2,92.4
Cg2-12-5,Cg2,134.4
Cg2-12-6,Cg2,90.9
Cg2-14-1,Cg2,143.6
Cg2-14-2,Cg2,107.2
Cg2-14-4,Cg2,128.1
Cg2-14-5,Cg2,138.6
Cg2-14-6,Cg2,137.8
Cg4-1-1,Cg4,142.1
Cg4-1-2,Cg4,145.5
Cg4-1-3,Cg4,131.6
Cg4-1-4,Cg4,115.1
Cg4-1-5,Cg4,146.2
Cg4-1-6,Cg4,160.6
Cg4-6-1,Cg4,129.3
Cg4-6-2,Cg4,139.3
Cg4-6-3,Cg4,102.9
Cg4-6-4,Cg4,111.4
Cg4-6-5,Cg4,102
Cg4-6-6,Cg4,156.3
Cg4-7-1,Cg4,179
Cg4-7-3,Cg4,126.6
Cg4-7-5,Cg4,114.2
Cg4-8-1,Cg4,124.6
Cg4-8-2,Cg4,149.4
Cg4-8-3,Cg4,129.8
Cg4-8-4,Cg4,130.5
Cg4-8-5,Cg4,122.9
Cg4-8-6,Cg4,130.8
Cg4-9-1,Cg4,129.1
Cg4-9-2,Cg4,117.6
Cg4-9-3,Cg4,126.1
Cg4-9-4,Cg4,132.9
Cg4-9-5,Cg4,118.5
Cg4-9-6,Cg4,123.7
Cg4-12-1,Cg4,185.2
Cg4-12-2,Cg4,136.1
Cg4-12-3,Cg4,122.8
Cg4-12-4,Cg4,144.4
Cg4-12-5,Cg4,154.4
Cg4-12-6,Cg4,121.8
Co2-2-1,Co2,44.6
Co2-2-2,Co2,48.7
Co2-2-3,Co2,43.4
Co2-2-4,Co2,48.1
Co2-2-5,Co2,46.1
Co2-2-6,Co2,50.1
Co2-4-1,Co2,44.5
Co2-4-2,Co2,41.1
Co2-4-3,Co2,44.4
Co2-4-4,Co2,44.8
Co2-4-5,Co2,43.6
Co2-4-6,Co2,48.7
Co2-6-1,Co2,43.6
Co2-6-2,Co2,46.0
Co2-6-3,Co2,51.2
Co2-6-4,Co2,49.7
Co2-6-5,Co2,41.5
Co2-6-6,Co2,50.8
Co2-8-1,Co2,49.4
Co2-8-2,Co2,48.2
Co2-8-3,Co2,48.8
Co2-8-4,Co2,48.1
Co2-8-5,Co2,45.4
Co2-8-6,Co2,50.6
Co2-9-1,Co2,55.9
Co2-9-2,Co2,53.1
Co2-9-3,Co2,38.2
Co2-9-4,Co2,50.8
Co2-9-5,Co2,50.5
Co2-9-6,Co2,62.4
Co2-11-1,Co2,48.7
Co2-11-2,Co2,50.8
Co2-11-3,Co2,52.8
Co2-11-4,Co2,49.3
Co2-11-5,Co2,47.7
Co2-11-6,Co2,58.1
Co4-1-1,Co4,77.3
Co4-1-2,Co4,78.5
Co4-1-3,Co4,63.8
Co4-1-4,Co4,67.3
Co4-1-5,Co4,61.1
Co4-1-6,Co4,62.8
Co4-3-1,Co4,71.2
Co4-3-2,Co4,87.0
Co4-3-3,Co4,67.8
Co4-3-4,Co4,66.1
Co4-3-5,Co4,61.7
Co4-3-6,Co4,82.9
Co4-4-1,Co4,53.0
Co4-4-2,Co4,62.6
Co4-4-3,Co4,72.6
Co4-4-4,Co4,40.1
Co4-4-5,Co4,34.0
Co4-4-6,Co4,65.1
Co4-5-1,Co4,69.8
Co4-5-2,Co4,70.3
Co4-5-3,Co4,62.1
Co4-5-4,Co4,50.3
Co4-5-5,Co4,75.5
Co4-5-6,Co4,79.4
Co4-8-1,Co4,71.3
Co4-8-2,Co4,67.9
Co4-8-3,Co4,66.4
Co4-8-4,Co4,71.6
Co4-8-5,Co4,73.0
Co4-8-6,Co4,55.8
Co4-9-1,Co4,63.5
Co4-9-2,Co4,51.2
Co4-9-3,Co4,81.1
Co4-9-4,Co4,50.5
Co4-9-5,Co4,63.0
Co4-9-6,Co4,72.2
F-1-1,F,146.1
F-1-3,F,72.3
F-1-4,F,72.4
F-1-5,F,71.8
F-1-6,F,98.7
F-3-1,F,82.1
F-3-2,F,70.8
F-3-3,F,72.1
F-3-4,F,72.2
F-3-5,F,70.0
F-3-6,F,85.3
F-5-1,F,81.8
F-5-2,F,54.1
F-5-3,F,68.1
F-5-4,F,38.1
F-5-5,F,69.2
F-5-6,F,95.8
F-8-1,F,79.8
F-8-2,F,107.3
F-8-3,F,112.9
F-8-4,F,57.6
F-8-5,F,136.1
F-8-6,F,85.1
F-9-1,F,91.2
F-9-2,F,108.9
F-9-3,F,55.5
F-9-4,F,109.2
F-9-5,F,122.8
F-9-6,F,82.2
F-10-1,F,77.2
F-10-2,F,70.1
F-10-4,F,112.3
F-10-5,F,92.0
F-10-6,F,106.3
Sd-1-1,Sd,110.5
Sd-1-2,Sd,63.0
Sd-1-4,Sd,40
Sd-1-5,Sd,122.2
Sd-1-6,Sd,150.7
Sd-2-1,Sd,106.4
Sd-2-2,Sd,147.4
Sd-2-3,Sd,89.6
Sd-4-1,Sd,101.6
Sd-4-2,Sd,117.6
Sd-4-3,Sd,102.1
Sd-4-4,Sd,110.9
Sd-4-5,Sd,167.5
Sd-4-6,Sd,174.9
Sd-6-1,Sd,76.7
Sd-6-2,Sd,29
Sd-6-3,Sd,54.1
Sd-6-4,Sd,116.6
Sd-6-5,Sd,108.1
Sd-6-6,Sd,107.6
Sd-7-1,Sd,184.1
Sd-7-3,Sd,94.9
Sd-7-5,Sd,97.2
Sd-8-1,Sd,79.7
Sd-8-2,Sd,142.6
Sd-8-3,Sd,126.0
Sd-8-4,Sd,96.1
Sd-8-5,Sd,123.2
Sd-8-6,Sd,73.2
Sh-1-1,Sh,95.5
Sh-1-2,Sh,102.0
Sh-1-3,Sh,108.2
Sh-1-4,Sh,79.7
Sh-1-5,Sh,97.4
Sh-1-6,Sh,100.2
Sh-2-1,Sh,67.4
Sh-2-2,Sh,95.3
Sh-2-3,Sh,90.3
Sh-2-4,Sh,88.6
Sh-2-5,Sh,91.2
Sh-2-6,Sh,76.9
Sh-3-1,Sh,112.5
Sh-3-2,Sh,78.9
Sh-3-3,Sh,146.8
Sh-3-5,Sh,113.3
Sh-3-6,Sh,102.3
Sh-5-1,Sh,100.3
Sh-5-2,Sh,91.2
Sh-5-3,Sh,127.0
Sh-5-4,Sh,127.0
Sh-5-5,Sh,101.3
Sh-5-6,Sh,120.6
Sh-7-1,Sh,98.5
Sh-7-2,Sh,119.5
Sh-7-3,Sh,87.8
Sh-7-4,Sh,84.7
Sh-7-5,Sh,114.4
Sh-7-6,Sh,109.6
Sh-9-1,Sh,121.3
Sh-9-2,Sh,100.9
Sh-9-3,Sh,112.4
Sh-9-4,Sh,98.4
Sh-9-5,Sh,116.6
Sh-9-6,Sh,75.0
